,lower_longitude,upper_longitude,lower_latitude,upper_latitude,fire_count
584,-127.0,-126.0,79.0,80.0,0
585,-127.0,-126.0,80.0,81.0,0
586,-127.0,-126.0,81.0,82.0,0
587,-127.0,-126.0,82.0,83.0,0
588,-126.0,-125.0,41.0,42.0,0
589,-126.0,-125.0,42.0,43.0,0
590,-126.0,-125.0,43.0,44.0,0
591,-126.0,-125.0,44.0,45.0,0
592,-126.0,-125.0,45.0,46.0,0
593,-126.0,-125.0,46.0,47.0,0
594,-126.0,-125.0,47.0,48.0,0
595,-126.0,-125.0,48.0,49.0,1
596,-126.0,-125.0,49.0,50.0,32
597,-126.0,-125.0,50.0,51.0,17
598,-126.0,-125.0,51.0,52.0,756
599,-126.0,-125.0,52.0,53.0,928
600,-126.0,-125.0,53.0,54.0,4314
601,-126.0,-125.0,54.0,55.0,823
602,-126.0,-125.0,55.0,56.0,249
603,-126.0,-125.0,56.0,57.0,1114
604,-126.0,-125.0,57.0,58.0,0
605,-126.0,-125.0,58.0,59.0,31
606,-126.0,-125.0,59.0,60.0,17
607,-126.0,-125.0,60.0,61.0,423
608,-126.0,-125.0,61.0,62.0,232
609,-126.0,-125.0,62.0,63.0,0
610,-126.0,-125.0,63.0,64.0,41
611,-126.0,-125.0,64.0,65.0,232
612,-126.0,-125.0,65.0,66.0,13
613,-126.0,-125.0,66.0,67.0,25
614,-126.0,-125.0,67.0,68.0,3
615,-126.0,-125.0,68.0,69.0,0
616,-126.0,-125.0,69.0,70.0,0
617,-126.0,-125.0,70.0,71.0,0
618,-126.0,-125.0,71.0,72.0,0
619,-126.0,-125.0,72.0,73.0,0
620,-126.0,-125.0,73.0,74.0,0
621,-126.0,-125.0,74.0,75.0,0
622,-126.0,-125.0,75.0,76.0,0
623,-126.0,-125.0,76.0,77.0,0
624,-126.0,-125.0,77.0,78.0,0
625,-126.0,-125.0,78.0,79.0,0
626,-126.0,-125.0,79.0,80.0,0
627,-126.0,-125.0,80.0,81.0,0
